표준_항목,표준_element_id,period_type,회사,CIK,동일_element_보유,fact_수
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,한화생명,00113058,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,동양생명,00117267,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,삼성화재,00139214,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,현대해상,00164973,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,DB손해보험,00159102,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,한화손해보험,00135917,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,흥국화재,00103176,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,미래에셋생명,00112332,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,삼성생명,00126256,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,한화생명,00113058,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,동양생명,00117267,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,삼성화재,00139214,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,현대해상,00164973,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,DB손해보험,00159102,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,한화손해보험,00135917,N,0
지급보험금_변동분,ifrs-full_IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidFromInsuranceContractsIssued,duration,흥국화재,00103176,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,미래에셋생명,00112332,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,삼성생명,00126256,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,한화생명,00113058,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,동양생명,00117267,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,삼성화재,00139214,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,현대해상,00164973,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,DB손해보험,00159102,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,한화손해보험,00135917,N,0
CSM_Member,ifrs-full_ContractualServiceMarginMember,—,흥국화재,00103176,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,미래에셋생명,00112332,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,삼성생명,00126256,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,한화생명,00113058,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,동양생명,00117267,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,삼성화재,00139214,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,현대해상,00164973,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,DB손해보험,00159102,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,한화손해보험,00135917,N,0
RA_Member,ifrs-full_RiskAdjustmentForNonfinancialRiskMember,—,흥국화재,00103176,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,미래에셋생명,00112332,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,삼성생명,00126256,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,한화생명,00113058,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,동양생명,00117267,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,삼성화재,00139214,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,현대해상,00164973,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,DB손해보험,00159102,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,한화손해보험,00135917,N,0
BEL_Member,ifrs-full_EstimatesOfPresentValueOfFutureCashFlowsMember,—,흥국화재,00103176,N,0
